scientificName_initial,scientificName_accepted,AphiaID,kingdom,phylum,class,order,family,genus
Pagurus bernhardus,Pagurus bernhardus,107232,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus
Pagurus cuanensis,Pagurus cuanensis,107235,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus
Pandora albida,Pandora albida,152817,Animalia,Mollusca,Bivalvia,,Pandoridae,Pandora
Paraonidae,Paraonidae,903,Animalia,Annelida,Polychaeta,,Paraonidae,
Parexogone hebes,Parexogone hebes,757970,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Parexogone
Parvicardium scabrum,Parvicardium scabrum,139012,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium
Paucibranchia bellii,Paucibranchia bellii,1297885,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Paucibranchia
Pelogenia arenosa,Pelogenia arenosa,131071,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pelogenia
Perioculodes longimanus,Perioculodes longimanus,102915,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Perioculodes
Perrierella audouiniana,Perrierella audouiniana,102710,Animalia,Arthropoda,Malacostraca,Amphipoda,Aristiidae,Perrierella
Phascolion (Phascolion) strombus strombus,Phascolion (Phascolion) strombus strombus,416714,Animalia,Annelida,,Sipuncula,Golfingiidae,Phascolion
Phaxas pellucidus,Phaxas pellucidus,140737,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Phaxas
Pherusa plumosa,Pherusa plumosa,130113,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Pherusa
Philocheras bispinosus,Philocheras bispinosus,107557,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Philocheras
Philocheras trispinosus,Philocheras trispinosus,107562,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Philocheras
Pholoe baltica,Pholoe baltica,130599,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe
Phoronis sp.,,,,,,,,
Photis longicaudata,Photis longicaudata,102383,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Photis
Phyllodoce spp.,,,,,,,,
Pilumnus hirtellus,Pilumnus hirtellus,107418,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,Pilumnus
Poecilochaetus serpens,Poecilochaetus serpens,130711,Animalia,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus
Polititapes rhomboides,Polititapes rhomboides,745846,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Polititapes
Prionospio cirrifera,Prionospio cirrifera,131153,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Prionospio malmgreni,Prionospio malmgreni,131159,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Prionospio multibranchiata,Prionospio multibranchiata,131160,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Processa spp.,,,,,,,,
Protodorvillea kefersteini,Protodorvillea kefersteini,130041,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea
Psamathe fusca,Psamathe fusca,152249,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Psamathe
Pseudopolydora pulchra,Pseudopolydora pulchra,131169,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora
Pseudopotamilla reniformis,Pseudopotamilla reniformis,130963,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Pseudopotamilla
Ptychodera sp.,,,,,,,,
Pyrgiscus crenatus,Pyrgiscus crenatus,836211,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Pyrgiscus
Sabella pavonina,Sabella pavonina,130967,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella
Scalibregma celticum,Scalibregma celticum,130979,Animalia,Annelida,Polychaeta,,Scalibregmatidae,Scalibregma
Scolelepis (Scolelepis) foliosa,Scolelepis (Scolelepis) foliosa,131173,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis
Scolelepis bonnieri,Scolelepis bonnieri,131171,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis
Scolelepis tridentata,Scolelepis tridentata,131178,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis
Scoloplos armiger,Scoloplos armiger,130537,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos
Sigalion mathildae,Sigalion mathildae,131072,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalion
Socarnes filicornis,Socarnes filicornis,102725,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Socarnes
Spio decorata,Spio decorata,152314,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio
Spiophanes bombyx,Spiophanes bombyx,131187,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes
Spisula elliptica,Spisula elliptica,140300,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Spisula subtruncata,Spisula subtruncata,140302,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Sthenelais boa,Sthenelais boa,131074,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais
Sthenelais limicola,Sthenelais limicola,131077,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais
Streblosoma cabiochi,Streblosoma cabiochi,1447083,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Streblosoma
Syllidae,Syllidae,948,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,
Syllis parapari,Syllis parapari,196002,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis
Synarachnactis lloydii,Synarachnactis lloydii,1674631,Animalia,Cnidaria,Hexacorallia,Ceriantharia,Synarachnactidae,Synarachnactis
Synchelidium haplocheles,Synchelidium haplocheles,102924,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium
Synchelidium maculatum,Synchelidium maculatum,102928,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium
Tanaidacea,Tanaidacea,1133,Animalia,Arthropoda,Malacostraca,Tanaidacea,,
Terebellidae,Terebellidae,982,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,
Terebellides gentili,Terebellides gentili,1374754,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides
Thelepus spp.,,,,,,,,
Thracia phaseolina,Thracia phaseolina,152378,Animalia,Mollusca,Bivalvia,,Thraciidae,Thracia
Thyasira flexuosa,Thyasira flexuosa,141662,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Thyasira
Timoclea ovata,Timoclea ovata,141929,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Timoclea
Tritia reticulata,Tritia reticulata,876821,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia
Tritia varicosa,Tritia varicosa,1391526,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia
Tryphosa nana,Tryphosa nana,102748,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosa
Tryphosella sarsi,Tryphosella sarsi,102771,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosella
Tryphosites longipes,Tryphosites longipes,102779,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosites
Turritellinella tricarinata,Turritellinella tricarinata,1381415,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Turritellidae,Turritellinella
Upogebia deltaura,Upogebia deltaura,107739,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia
Urothoe spp.,,,,,,,,
Varicorbula gibba,Varicorbula gibba,378492,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Varicorbula
Venus casina,Venus casina,141934,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Venus
Websterinereis glauca,Websterinereis glauca,130426,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Websterinereis
